day	store	sku	disc_value	revenue	qty
2025-02-25	226	639828	449.760009765625	4549.240234375	1
2024-06-24	275	582305	0.0	2995.0	1
2025-04-15	27003	605278	0.0	1999.0	1
2024-10-18	178	603392	500.0	7495.0	1
2024-06-24	27110	542679	0.0	1297.5	1
2024-11-29	2671	566097	4788.4501953125	1.5499999523162842	2
2024-11-25	307	539691	236.2899932861328	2758.7099609375	1
2025-01-03	140	568121	1198.5	2796.489990234375	1
2024-04-15	239	582533	0.0	299.0	1
2024-05-10	268	583480	0.0	2595.0	1
2024-12-25	254	622844	234.9199981689453	2160.080078125	1
2025-02-11	155	571553	0.0	2195.0	1
2024-09-11	254	581715	0.0	6995.0	1
2025-01-19	226	545155	11998.0	17997.0	1
2024-07-14	295	593017	0.0	2795.0	1
2024-07-25	219	469772	0.0	1676.0	1
2025-02-04	200	640945	0.0	2999.0	1
2024-07-01	193	565613	0.0	1647.5	1
2024-12-19	135	578021	0.0	3295.0	1
2025-03-29	282	627541	0.0	1995.0	1
2024-10-02	27001	603398	0.0	2795.0	1
2024-06-07	238	586997	0.0	1437.0	1
2024-10-17	178	627630	0.0	1995.0	1
2024-07-14	237	606697	0.0	2405.239990234375	1
2024-06-17	276	584014	1297.5	1297.5	1
2024-12-06	27078	161741	0.0	2595.0	1
2024-09-07	5188	578615	0.0	2295.0	1
2024-06-09	282	579747	0.0	3495.0	1
2024-09-07	159	603009	0.0	8904.23046875	1
2025-01-12	261	471926	719.0	2876.0	1
2024-06-19	162	561792	0.0	1327.0899658203125	1
2025-03-21	4912	639354	320.1099853515625	3678.889892578125	1
2024-06-27	216	561507	0.0	1747.5	1
2024-07-24	17239	491282	0.0	499.0	1
2025-01-12	5187	491077	0.0	6995.0	1
2024-08-11	27000	622388	0.0	2755.02001953125	1
2024-09-15	301	582533	0.0	299.0	1
2024-06-28	27000	567000	0.0	4134.919921875	1
2024-11-02	1376	491282	0.0	499.0	1
2025-02-22	4936	590527	159.35000610351562	1735.6500244140625	1
2024-12-03	243	587086	0.0	2795.0	1
2025-02-01	11348	610956	0.0	2395.0	1
2024-10-18	3177	604210	0.0	5495.0	1
2025-01-12	2712	610152	3497.5	3497.5	1
2024-06-09	2690	571041	0.0	1181.780029296875	1
2025-01-12	27078	605867	442.4700012207031	4552.52978515625	1
2024-04-14	12248	550850	0.0	1995.0	1
2024-07-15	2690	593028	0.0	2576.639892578125	1
2024-07-27	143	580487	0.0	1145.3199462890625	1
2024-07-04	4913	582426	0.0	1197.5	1
2025-01-02	17669	539165	0.0	299.0	1
2024-09-07	4912	560368	0.0	1666.199951171875	1
2024-12-12	161	471074	0.0	4995.0	1
2025-02-13	3180	639779	0.0	299.0	1
2025-03-13	17135	642462	0.0	2999.0	1
2025-02-23	275	634938	0.0	2999.0	1
2025-04-21	156	634464	0.0	2999.0	1
2024-07-02	164	581659	0.0	1497.5	1
2024-12-23	26954	606697	778.5	1816.510009765625	1
2024-10-03	17135	581715	460.7999877929687	6534.2001953125	1
2024-11-17	3173	551348	112.70999908447266	1182.2900390625	1
2025-03-22	159	599969	0.0	3495.0	1
2024-12-29	27078	594856	1498.5	3496.489990234375	1
2024-12-18	27090	604952	1048.5	2446.510009765625	1
2025-02-02	27138	551327	1396.0	599.0	1
2024-11-17	3107	620951	0.0	7995.0	1
2024-06-05	226	592399	0.0	2995.0	1
2024-06-16	254	542449	0.0	1049.0	1
2024-04-20	3173	567000	0.0	4495.0	1
2025-04-20	211	636328	0.0	2999.0	1
2025-03-01	197	578233	210.8000030517578	3284.199951171875	1
2024-08-01	182	623846	0.0	2595.0	1
2024-12-11	161	626441	0.0	6995.0	1
2024-07-07	219	592399	0.0	2995.0	1
2024-08-27	27001	560368	0.0	1626.3399658203125	1
2024-10-15	1376	578615	199.8300018310547	2095.169921875	1
2025-04-18	156	641809	173.64999389648438	1825.3499755859375	1
2025-01-24	920	562541	3996.0	1999.0	1
2024-10-31	2222	528860	0.0	799.0	1
2024-08-19	191	592929	0.0	2258.72998046875	1
2024-08-08	11348	592973	0.0	2264.1298828125	1
2025-01-30	2690	611206	1997.5	1997.5	1
2024-07-07	26997	575651	0.0	2995.0	1
2024-12-15	27009	600272	789.72998046875	8205.2802734375	1
2024-05-14	3177	567831	0.0	2236.0	1
2024-08-19	136	627240	0.0	2995.0	1
2024-04-10	238	580941	0.0	1170.1500244140625	1
2025-01-13	165	614977	718.5	1676.489990234375	1
2024-07-11	197	484946	0.0	1647.5	1
2024-08-08	152	598330	0.0	2395.0	1
2024-07-22	27013	581057	0.0	1449.3599853515625	1
2025-01-09	149	615921	1998.0	2997.0	1
2024-07-03	316	592199	0.0	1297.5	1
2024-10-23	191	581713	0.0	6995.0	1
2024-10-13	26953	625607	0.0	4995.0	1
2025-01-13	200	599173	1377.4599609375	1617.5400390625	1
2025-02-07	176	491075	630.47998046875	6364.509765625	1
2024-12-12	27080	593051	0.0	2395.0	1
2025-01-18	275	642948	0.0	3999.0	1
2024-11-16	267	577960	0.0	2595.0	1
2024-06-21	918	584014	1297.5	1297.5	1
2025-03-15	2671	580222	1250.280029296875	12744.7197265625	1
2025-04-19	17135	636328	0.0	2999.0	1
2024-07-19	2690	450415	0.0	5079.72998046875	1
2025-01-28	155	617063	1197.5	1197.5	1
2024-10-13	253	560368	0.0	1795.0	1
2024-04-13	161	565592	0.0	3295.0	1
2024-10-11	2690	585400	0.0	3495.0	1
2024-04-17	2712	578928	0.0	2595.0	1
2024-05-19	191	570887	0.0	544.0599975585938	2
2024-07-19	320	565017	0.0	2796.5	1
2024-12-13	4912	548563	156.0399932861328	1838.9599609375	1
2024-06-18	197	580768	0.0	1459.0	1
2024-06-25	3180	581715	0.0	6995.0	1
2024-08-23	268	564889	0.0	1437.0	1
2024-08-29	26953	567000	0.0	4360.14990234375	1
2024-09-03	132	491282	0.0	450.2300109863281	1
2024-10-03	155	613427	0.0	2995.0	1
2025-02-19	27003	630251	0.0	2599.0	1
2024-06-07	134	575504	0.0	1816.5	1
2024-10-28	163	593010	205.82000732421875	2589.179931640625	1
2024-11-12	155	595257	0.0	4995.0	1
2024-04-04	920	592382	0.0	4.820000171661377	4
2025-02-11	175	642462	268.05999755859375	2730.93994140625	1
2025-03-29	27116	640465	271.989990234375	2527.010009765625	1
2024-11-21	26992	563094	0.0	1595.0	1
2025-01-11	2690	535883	9198.0	13797.0	1
2025-02-16	27151	639605	362.1600036621094	3636.840087890625	1
2024-05-23	197	551623	0.0	1295.0	1
2025-03-29	3123	629667	234.3300018310547	2364.669921875	1
2024-06-03	27110	588100	0.0	3661.669921875	1
2024-08-31	17669	594814	0.0	2395.0	1
2024-12-30	27000	565665	2469.93994140625	3525.06005859375	1
2024-08-03	3180	593010	0.0	2545.0	1
2024-10-30	197	591748	0.0	2795.0	1
2024-04-14	26998	516644	0.0	699.0	1
2024-04-28	26997	576593	0.0	2995.0	1
2025-02-01	2690	582960	1497.5	1497.5	1
2024-06-27	918	586681	0.0	1197.5	1
2025-04-07	4912	636328	0.0	2999.0	1
2024-10-12	254	584463	0.0	2795.0	1
2024-04-14	12049	580299	0.0	2561.7900390625	1
2025-03-21	1374	627541	0.0	1995.0	1
2024-10-26	202	491282	0.0	998.0	2
2024-12-07	18302	571683	22.18000030517578	276.82000732421875	1
2024-10-26	309	491077	583.6500244140625	6411.35009765625	1
2025-02-15	11348	630934	0.0	1999.0	1
2024-10-26	182	620447	0.0	7995.0	1
2024-08-13	133	578119	0.0	2372.830078125	1
2024-11-30	3186	571041	0.0	1295.0	1
2024-04-28	3206	580683	0.0	2795.0	1
2024-08-13	162	581050	0.0	1917.3699951171875	1
2024-06-19	16893	582252	0.0	277.04998779296875	1
2024-10-18	318	595257	449.760009765625	4545.240234375	1
2024-12-02	247	593047	0.0	2595.0	1
2024-12-14	123	614090	500.0	4995.0	1
2025-02-22	292	629481	250.0	2549.0	1
2024-06-05	237	570815	0.0	269.260009765625	1
2024-09-22	309	528860	77.33000183105469	721.6699829101562	1
2024-07-23	292	534859	0.0	1497.5	1
2024-11-27	276	567968	538.5	1256.510009765625	1
2024-06-16	3075	582370	0.0	1046.0	1
2024-06-16	5188	571566	0.0	2397.0	1
2024-11-25	243	607816	288.3999938964844	2706.60009765625	1
2025-01-20	17670	578021	0.0	3295.0	1
2024-12-03	256	589079	675.8499755859375	6319.14990234375	1
2024-04-18	161	582252	0.0	299.0	1
2024-06-22	221	580610	1197.5	1197.5	1
2025-01-05	162	592835	1198.0	1797.0	1
2024-07-05	1374	551338	0.0	1368.5699462890625	1
2025-02-02	26998	640511	0.0	4499.0	1
2024-09-30	4912	585400	220.0500030517578	3274.949951171875	1
2024-06-22	12248	569459	997.5	997.5	1
2024-06-16	259	578465	0.0	3762.389892578125	1
2024-09-02	135	432200	0.0	2195.0	1
2025-01-26	18053	494720	3997.5	3997.5	1
2024-09-22	275	528860	37.95000076293945	761.0499877929688	1
2024-10-06	2690	607816	0.0	2995.0	1
2025-03-13	176	629475	0.0	2999.0	1
2025-01-26	26953	539629	15147.48046875	14847.51953125	1
2025-04-21	256	535025	0.0	3095.0	1
2024-12-29	207	603227	898.5	2096.489990234375	1
2024-12-27	320	593129	232.11000061035156	2362.889892578125	1
2024-06-05	9406	588481	0.0	2719.7900390625	1
2024-08-10	239	604618	0.0	2995.0	1
2024-06-30	249	162392	0.0	2374.7099609375	1
2024-12-09	155	625556	216.83999633789065	2578.159912109375	1
2024-06-23	159	569459	997.5	997.5	1
2024-07-17	309	614366	0.0	2557.530029296875	1
2024-06-15	244	564889	0.0	1197.5	1
2024-09-27	12248	614833	0.0	3495.0	1
2024-11-17	3112	581545	677.3699951171875	6317.6298828125	1
2024-09-04	199	595257	0.0	4507.330078125	1
2024-11-18	167	578021	255.72000122070312	3039.280029296875	1
2025-04-23	2690	639354	0.0	3999.0	1
2024-10-12	155	627541	0.0	1995.0	1
2024-05-14	18053	550621	0.0	2275.25	1
2025-04-12	4912	631521	0.0	3499.0	1
2024-04-25	3186	592382	0.0	5.019999980926514	4
2024-06-23	3173	581057	1397.5	1397.5	1
2024-08-10	201	491282	0.0	454.5899963378906	1
2024-06-23	3075	580834	0.0	1677.0	1
2024-10-01	276	607816	0.0	2995.0	1
2024-10-20	9568	528860	78.19000244140625	720.8099975585938	1
2024-08-17	176	613897	0.0	3495.0	1
2025-01-17	244	630656	0.0	2799.0	1
2024-07-06	26953	558485	0.0	1057.18994140625	1
2024-12-15	292	589424	398.1099853515625	3596.889892578125	1
2025-03-03	312	578615	45.900001525878906	2249.10009765625	1
2024-08-07	5454	623846	0.0	2362.8701171875	1
2024-11-18	251	611509	0.0	3495.0	1
2025-01-08	189	592399	149.91000366210938	2845.080078125	1
2024-11-12	131	627240	0.0	2995.0	1
2024-04-17	3186	586681	0.0	2195.10009765625	1
2024-11-27	140	616658	873.75	2621.25	1
2024-04-13	7925	161741	0.0	2429.010009765625	1
2024-05-04	262	563094	0.0	1595.0	1
2024-06-26	133	578465	0.0	3995.0	1
2024-12-01	132	451139	0.0	2595.0	1
2025-03-03	325	592115	188.72000122070312	1706.2900390625	1
2024-06-18	8847	581733	1747.5	1747.5	1
2024-10-20	202	593129	0.0	2595.0	1
2024-11-29	157	624381	664.5399780273438	6330.4501953125	1
2024-08-16	3186	516644	0.0	699.0	1
2025-01-18	17669	538997	1598.0	2397.0	1
2025-04-27	256	639742	350.0	3149.0	1
2024-12-21	164	594418	1198.5	2796.510009765625	1
2024-10-09	292	622136	0.0	3495.0	1
2024-10-20	302	578119	192.5800018310547	2402.419921875	1
2024-09-21	11348	601442	0.0	2795.0	1
2025-01-31	152	614650	258.1199951171875	3740.8798828125	1
2025-01-11	26954	607816	1303.9599609375	1691.0400390625	1
2025-02-16	326	642240	333.3500061035156	5665.64013671875	1
2024-11-13	254	561509	196.97999572753903	2398.02001953125	1
2024-04-27	27009	592115	0.0	1895.0	1
2024-10-02	178	603398	252.27999877929688	2542.719970703125	1
2024-06-12	126	567913	0.0	997.5	1
2024-05-10	213	580882	0.0	2995.0	1
2024-07-10	27078	570624	0.0	5631.33984375	1
2025-01-25	9406	617285	1348.5	3146.489990234375	1
2024-06-09	4912	575651	0.0	2727.090087890625	1
2024-06-28	129	581050	0.0	1397.5	1
2024-08-26	211	614366	0.0	2576.260009765625	1
2025-04-25	180	640445	0.0	3499.0	1
2025-04-11	176	654127	10392.0	4.0	4
2025-01-07	175	607379	1310.47998046875	1284.52001953125	1
2025-02-01	308	629475	187.47999572753903	2811.510009765625	1
2024-10-03	302	619213	353.0	4642.0	1
2024-12-04	245	593010	259.2799987792969	2535.739990234375	1
2024-12-08	4913	626615	0.0	2795.0	1
2024-07-27	200	570624	0.0	5551.990234375	1
2024-04-28	27084	575651	0.0	2801.52001953125	1
2024-09-15	126	590838	0.0	3495.0	1
2025-04-01	253	551345	0.0	1295.0	1
2024-11-10	26997	603398	241.36000061035156	2553.6298828125	1
2025-01-23	6544	494720	2398.5	5596.490234375	1
2024-07-15	161	580610	0.0	2099.7099609375	2
2024-10-12	11348	626421	0.0	4995.0	1
2024-08-25	317	491282	0.0	457.1799926757813	1
2024-07-27	2689	564889	0.0	1197.5	1
2024-07-04	16293	581050	0.0	1397.5	1
2024-04-06	4936	161741	0.0	2595.0	1
2025-02-02	4912	551338	1396.0	599.0	1
2024-05-22	251	450597	0.0	2395.0	1
2024-09-16	17317	491282	46.27000045776367	452.7300109863281	1
2024-04-20	4936	581125	0.0	1195.0	1
2024-09-27	26992	451167	0.0	2595.0	1
2024-11-03	253	619213	500.0	4495.0	1
2024-07-23	238	578928	0.0	2439.330078125	1
2025-03-24	2712	618982	232.16000366210935	2366.840087890625	1
2025-01-20	135	630251	250.0	2349.0	1
2025-03-01	917	635768	0.0	2799.0	1
2024-11-27	312	599173	0.0	2995.0	1
2024-05-25	17135	570887	0.0	571.489990234375	2
2024-12-29	2970	491282	38.720001220703125	460.2799987792969	1
2024-09-27	219	601502	0.0	2995.0	1
2025-01-26	155	578997	0.0	2695.0	1
2024-06-16	295	581659	0.0	1497.5	1
2025-01-26	917	638624	0.0	3499.0	1
2024-07-26	25328	591748	0.0	1397.5	1
2024-06-16	249	571227	0.0	1664.1800537109375	1
2024-11-06	3180	579764	1386.81005859375	12608.1904296875	1
2024-12-23	307	567556	1398.0	2097.0	1
2024-06-16	275	576875	0.0	1671.0699462890625	1
2024-10-02	27009	491282	49.709999084472656	449.2900085449219	1
2024-11-11	1374	580022	172.2100067138672	1822.800048828125	1
2024-12-06	920	543983	321.3500061035156	1873.6500244140625	1
2024-07-26	17135	589337	0.0	1497.5	1
2024-10-29	251	597419	0.0	3495.0	1
2024-07-07	155	576593	0.0	2995.0	1
2025-02-07	243	641809	173.3800048828125	1825.6199951171875	1
2024-10-23	27000	601442	210.47000122070312	2584.530029296875	1
2024-07-17	185	623846	0.0	2595.0	1
2025-04-05	152	634336	0.0	1299.0	1
2024-07-17	132	561737	0.0	997.5	1
2025-03-28	295	641352	0.0	2999.0	1
2025-02-26	199	641352	899.7000122070312	2099.31005859375	1
2024-10-15	9406	588257	0.0	4995.0	1
2024-07-03	4912	563606	0.0	1049.0	1
2024-11-17	123	563246	0.0	3495.0	1
2024-04-01	175	580679	0.0	9495.25	1
2025-02-21	4912	641777	0.0	3499.0	1
2025-03-25	916	627608	0.0	2195.0	1
2024-10-06	3173	614833	0.0	3495.0	1
2025-01-13	3177	609549	0.0	5995.0	1
2025-04-23	176	635735	0.0	6999.0	1
2025-01-04	3075	565685	2398.0	3597.0	1
2024-12-05	133	593129	0.0	2595.0	1
2024-06-23	164	568156	0.0	1242.5	1
2024-11-07	916	618293	0.0	2595.0	1
2024-05-04	199	551345	0.0	1295.0	1
2024-06-25	275	586681	0.0	1197.5	1
2024-07-28	318	593017	0.0	2795.0	1
2024-11-29	254	585960	0.0	5995.0	1
2024-06-13	9406	588693	0.0	1997.5	1
2025-03-30	27168	570569	0.0	299.0	1
2025-01-17	918	593502	1038.0	1557.0	1
2025-03-11	254	639354	0.0	3999.0	1
2024-11-29	301	468931	0.0	7995.0	1
2024-08-24	131	162392	0.0	2595.0	1
2025-01-17	301	568359	1799.0	4196.0	1
2024-09-03	162	627608	0.0	1981.22998046875	1
2025-04-19	2222	641292	0.0	2599.0	1
2024-07-06	138	545516	0.0	1797.0	1
2025-02-08	6544	604210	844.9000244140625	4650.10009765625	1
2024-07-12	167	581284	0.0	1097.06005859375	1
2025-02-16	27078	630656	0.0	2799.0	1
2025-01-25	2690	601502	1330.800048828125	1664.199951171875	1
2024-12-01	201	595444	5945.75	29029.25	5
2024-07-12	27013	580373	0.0	1536.5	1
2025-02-11	247	607062	229.0099945068359	2769.989990234375	1
2025-02-25	2671	635575	0.0	1499.0	1
2024-04-12	27009	576593	0.0	2755.080078125	1
2024-09-06	301	587511	0.0	3709.340087890625	1
2024-05-20	205	585960	0.0	5468.43017578125	1
2024-10-23	27017	582300	0.0	2995.0	1
2024-10-02	155	562831	317.2099914550781	2977.7900390625	1
2025-03-18	27003	587511	364.44000244140625	3630.56005859375	1
2024-12-19	27111	542679	778.5	1816.510009765625	1
2024-09-17	167	627630	0.0	1995.0	1
2024-04-21	229	578615	0.0	2098.429931640625	1
2025-03-04	292	595444	0.0	6995.0	1
2024-11-11	4912	563246	301.80999755859375	3193.18994140625	1
2025-01-11	205	580642	3997.5	3997.5	1
2024-11-21	216	545926	0.0	1995.0	1
2025-01-11	3075	619652	1048.5	2446.510009765625	1
2024-09-29	132	567959	1294.0	2201.0	1
2024-06-03	219	579747	0.0	3146.719970703125	1
2024-09-06	256	608061	0.0	2724.68994140625	1
2024-10-12	4936	611509	0.0	3495.0	1
2025-01-19	207	551327	1396.0	599.0	1
2025-01-12	17317	640445	301.94000244140625	3197.06005859375	1
2024-12-20	193	484946	1728.949951171875	1566.0899658203125	1
2024-08-11	129	614366	0.0	2795.0	1
2024-12-24	268	571791	878.0	1317.0	1
2024-11-30	1379	623805	0.0	2195.0	1
2024-06-27	253	590401	958.0	1437.0	1
2024-04-14	2970	592115	0.0	1713.4000244140625	1
2024-08-26	4912	621785	0.0	2755.02001953125	1
2025-01-12	27090	582048	988.5	2306.510009765625	1
2025-02-15	1377	638624	279.95001220703125	3219.050048828125	1
2024-12-14	18053	597153	1565.4599609375	16429.5390625	1
2024-04-14	2970	567562	0.0	1725.6700439453125	1
2024-07-27	4936	578465	0.0	3995.0	1
2024-06-11	312	558694	0.0	1193.8900146484375	1
2024-08-25	4936	619652	0.0	3227.699951171875	1
2025-01-12	276	614977	1069.3599853515625	1325.6400146484375	1
2024-11-08	199	582300	239.88999938964844	2755.110107421875	1
2024-12-20	2685	568478	1806.219970703125	1688.780029296875	1
2024-11-05	2222	619351	750.2100219726562	8244.7900390625	1
2025-04-16	18302	592399	0.0	2995.0	1
2025-01-23	129	570815	0.0	299.0	1
2024-05-02	27085	583341	0.0	2795.0	1
2024-05-18	2689	575651	0.0	2995.0	1
2024-06-09	27080	582252	0.0	299.0	1
2024-12-14	3173	473572	1221.050048828125	11773.9599609375	1
2024-06-16	183	588693	0.0	3995.0	2
2024-05-13	5188	580683	0.0	2655.25	1
2024-04-18	229	582252	0.0	299.0	1
2024-06-16	18053	589057	0.0	1197.5	1
2024-07-26	302	593010	0.0	2795.0	1
2025-01-05	1376	597153	0.0	17995.0	1
2024-07-23	167	581437	0.0	1747.5	1
2024-06-16	149	568826	0.0	1443.739990234375	1
2024-12-18	262	611509	1148.3800048828125	2346.6201171875	1
2024-06-08	27017	567439	0.0	2397.0	1
2025-04-20	213	576277	298.7200012207031	2696.280029296875	1
2025-04-13	164	635840	0.0	2599.0	1
2025-03-24	158	595997	0.0	4999.0	1
2025-01-26	259	621938	1249.3499755859375	1345.6500244140625	1
2024-06-16	2690	580687	0.0	1097.06005859375	1
2024-11-03	235	592929	169.02000427246094	2225.97998046875	1
2024-04-18	5454	592399	0.0	2753.080078125	1
2024-07-17	152	581057	0.0	1397.5	1
2025-03-28	226	634336	0.0	1299.0	1
2024-11-28	4936	491282	48.959999084472656	450.0400085449219	1
2024-09-22	201	602915	218.7100067138672	3276.2900390625	1
2024-08-14	3107	161741	0.0	2595.0	1
2024-11-10	8305	593010	241.36000061035156	2553.6298828125	1
2024-11-09	27116	491282	0.0	499.0	1
2024-04-09	2203	579747	0.0	3495.0	1
2024-08-08	2690	626346	0.0	3284.8798828125	1
2024-10-12	159	593051	0.0	2395.0	1
2025-04-05	5188	619794	0.0	2195.0	1
2024-06-23	238	564889	1197.5	1197.5	1
2024-07-11	249	532546	0.0	1347.5	1
2025-01-29	2701	571791	0.0	2195.0	1
2024-11-17	155	475194	296.2099914550781	2698.7900390625	1
2024-09-17	267	627541	154.2899932861328	1840.7099609375	1
2024-08-19	6544	528860	0.0	799.0	1
2024-10-21	27085	618017	0.0	3495.0	1
2024-09-01	202	627355	0.0	3674.969970703125	1
2024-12-10	207	626473	0.0	2995.0	1
2025-01-28	226	627541	0.0	1995.0	1
2024-06-18	16893	491282	0.0	499.0	1
2024-05-19	164	578119	0.0	2595.0	1
2024-06-25	135	592359	0.0	1997.5	1
2025-03-15	3075	551327	1407.97998046875	587.02001953125	1
2025-03-09	6544	528860	71.41999816894531	727.5800170898438	1
2024-10-01	245	601442	235.02000427246097	2559.97998046875	1
2024-12-28	205	627585	0.0	2295.0	1
2025-03-16	123	643147	0.0	2299.0	1
2025-01-18	27001	596166	958.0	1437.0	1
2024-08-24	2689	553895	0.0	2395.0	1
2024-05-19	2690	162392	0.0	2465.25	1
2024-06-29	160	561732	0.0	1297.5	1
2025-01-18	2690	593502	1038.0	1557.0	1
2024-06-26	3186	589938	0.0	2446.0	1
2024-11-10	254	603392	695.8200073242188	7299.169921875	1
2024-06-03	256	581284	0.0	2195.0	1
2024-08-31	8306	542269	0.0	2097.0	1
2025-01-06	26954	568952	1459.8499755859375	2035.1500244140625	1
2025-03-12	1375	551623	109.88999938964844	2480.1201171875	2
2025-01-06	12248	543673	3997.5	3997.5	1
2024-06-24	4928	564889	0.0	1592.6700439453125	1
2024-11-24	27090	566975	273.9100036621094	3721.090087890625	1
2024-11-23	244	581713	0.0	6995.0	1
2024-10-11	161	610667	0.0	4995.0	1
2024-10-24	191	613137	343.32000732421875	3151.679931640625	1
2024-05-26	199	578465	0.0	3995.0	1
2025-05-01	2970	654096	251.2599945068359	2547.739990234375	1
2024-09-17	133	627630	123.4499969482422	1871.550048828125	1
2024-11-30	26998	567645	0.0	7995.0	1
2024-12-10	126	582775	0.0	6995.0	1
2024-07-25	239	566305	0.0	1728.3299560546875	1
2024-08-28	307	588100	0.0	3679.93994140625	1
2024-04-27	27003	532576	0.0	2734.169921875	1
2024-12-25	1376	639871	194.13999938964844	1804.8599853515625	1
2025-01-06	27147	610152	3497.5	3497.5	1
2024-08-21	200	608061	0.0	2995.0	1
2025-01-19	245	596621	839.0	1956.0	1
2024-12-08	3075	537479	4352.0	2643.0	1
2024-11-09	267	621938	0.0	2595.0	1
2025-01-25	179	578615	0.0	2295.0	1
2024-04-30	210	451841	0.0	2795.0	1
2024-04-12	2701	491282	0.0	499.0	1
2024-10-11	155	599067	0.0	3495.0	1
2024-04-14	27085	440406	0.0	2195.0	1
2024-08-05	254	606697	0.0	2595.0	1
2024-11-17	27144	491282	0.0	499.0	1
2025-02-06	159	441823	421.3599853515625	5073.6298828125	1
2025-03-02	326	451139	0.0	2595.0	1
2024-10-01	11348	596166	204.22000122070312	2190.780029296875	1
2024-04-06	26950	577861	0.0	11995.0	1
2025-03-07	282	618293	0.0	2595.0	1
2024-11-02	302	620457	0.0	1995.0	1
2025-03-26	213	614650	362.1000061035156	3636.89990234375	1
2024-07-24	176	16108	0.0	1049.0	1
2025-01-02	199	639871	0.0	1999.0	1
2025-04-04	251	629667	0.0	2599.0	1
2024-09-07	256	587871	0.0	3205.800048828125	1
2024-07-15	162	580829	0.0	1747.5	1
2025-02-15	11348	639605	0.0	3999.0	1
2024-10-26	27140	593010	241.36000061035156	2553.6298828125	1
2024-06-19	207	580385	1397.5	1397.5	1
2024-11-02	161	620484	1244.8299560546875	12750.169921875	1
2025-03-07	11348	605278	0.0	1999.0	1
2024-08-15	1376	623846	0.0	2384.169921875	1
2024-07-27	3075	593010	0.0	2584.97998046875	1
2024-08-25	1377	592204	0.0	2756.75	1
2024-05-25	919	578928	0.0	2595.0	1
2024-10-07	26998	591501	0.0	13995.0	1
2024-07-23	3107	581545	0.0	6562.81005859375	1
2025-01-05	3206	602082	599.0	2396.0	1
2024-05-31	312	571227	0.0	3495.0	1
2024-04-20	143	539165	0.0	299.0	1
2024-12-27	917	588334	1747.5	1747.5	1
2025-03-22	191	635550	358.9100036621094	3640.090087890625	1
2024-08-02	178	614366	0.0	2557.72998046875	1
2024-07-23	129	538866	0.0	997.5	1
2025-01-05	261	571484	365.0199890136719	4629.97998046875	1
2024-11-24	1376	491282	0.0	998.0	2
2024-06-16	921	576207	0.0	1497.5	1
2024-11-09	140	582853	0.0	2995.0	1
2024-06-08	216	581659	0.0	2995.0	1
2024-08-02	156	491282	0.0	499.0	1
2024-08-18	322	542679	0.0	1557.0	1
2024-09-22	164	560351	170.9199981689453	2024.0799560546875	1
2024-08-18	231	592965	0.0	2395.0	1
2024-12-11	239	626036	0.0	19995.0	1
2024-10-16	316	613137	0.0	3495.0	1
2024-07-07	16893	581050	0.0	1397.5	1
2024-04-01	156	491282	0.0	499.0	1
2024-10-10	7925	162392	0.0	2595.0	1
2025-02-12	238	590232	1663.97998046875	1631.02001953125	1
2025-01-29	2970	551845	0.0	5995.0	1
2024-09-21	3196	602915	313.6600036621094	3181.340087890625	1
2025-03-28	3173	639550	0.0	3499.0	1
2024-12-26	3107	584770	718.5	1676.489990234375	1
2025-05-04	2712	484946	0.0	3295.0	1
2024-12-22	179	568675	1297.5	1297.5	1
2025-04-12	27017	654270	4788.0	2.0	2
2024-10-20	5188	578119	0.0	2595.0	1
2024-10-13	312	606697	167.69000244140625	2427.31005859375	1
2024-06-29	27000	581713	0.0	6447.66015625	1
2024-06-18	253	581046	1146.0	1049.0	1
2024-10-09	282	625388	0.0	2795.0	1
